Num,?【省（直辖市）】,Num,? 【市、自治州、地区州】,Num,?【县、区、自治县】
1,北京市,1,北京市,1,海淀区
1,北京市,1,北京市,2,朝阳区
1,北京市,1,北京市,3,宣武区
1,北京市,1,北京市,4,昌平区
1,北京市,1,北京市,5,丰台区
1,北京市,1,北京市,6,通州区
1,北京市,1,北京市,7,西城区
1,北京市,1,北京市,8,大兴区
1,北京市,1,北京市,9,房山区
1,北京市,1,北京市,10,东城区
1,北京市,1,北京市,11,顺义区
1,北京市,1,北京市,12,石景山区
1,北京市,1,北京市,13,密云县
1,北京市,1,北京市,14,延庆县
1,北京市,1,北京市,15,门头沟区
1,北京市,1,北京市,16,怀柔区
1,北京市,1,北京市,17,崇文区
1,北京市,1,北京市,18,平谷区
2,上海市,2,上海市,19,浦东新区
2,上海市,2,上海市,20,闵行区
2,上海市,2,上海市,21,徐汇区
2,上海市,2,上海市,22,杨浦区
2,上海市,2,上海市,23,虹口区
2,上海市,2,上海市,24,普陀区
2,上海市,2,上海市,25,宝山区
2,上海市,2,上海市,26,松江区
2,上海市,2,上海市,27,黄浦区
2,上海市,2,上海市,28,长宁区
2,上海市,2,上海市,29,嘉定区
2,上海市,2,上海市,30,闸北区
2,上海市,2,上海市,31,南汇区
2,上海市,2,上海市,32,青浦区
2,上海市,2,上海市,33,奉贤区
2,上海市,2,上海市,34,崇明县
2,上海市,2,上海市,35,静安区
2,上海市,2,上海市,36,金山区
2,上海市,2,上海市,37,卢湾区
3,重庆市,3,重庆市,38,渝中区
3,重庆市,3,重庆市,39,沙坪坝区
3,重庆市,3,重庆市,40,万州区
3,重庆市,3,重庆市,41,江北区
3,重庆市,3,重庆市,42,云阳县
3,重庆市,3,重庆市,43,九龙坡区
3,重庆市,3,重庆市,44,南岸区
3,重庆市,3,重庆市,45,永川市
3,重庆市,3,重庆市,46,开县
3,重庆市,3,重庆市,47,梁平县
3,重庆市,3,重庆市,48,合川市
3,重庆市,3,重庆市,49,北碚区
3,重庆市,3,重庆市,50,渝北区
3,重庆市,3,重庆市,51,江津市
3,重庆市,3,重庆市,52,涪陵区
3,重庆市,3,重庆市,53,忠县
3,重庆市,3,重庆市,54,巫山县
3,重庆市,3,重庆市,55,长寿区
3,重庆市,3,重庆市,56,奉节县
3,重庆市,3,重庆市,57,潼南县
3,重庆市,3,重庆市,58,巴南区
3,重庆市,3,重庆市,59,綦江县
3,重庆市,3,重庆市,60,荣昌县
3,重庆市,3,重庆市,61,璧山县
3,重庆市,3,重庆市,62,铜梁县
3,重庆市,3,重庆市,63,垫江县
3,重庆市,3,重庆市,64,大足县
3,重庆市,3,重庆市,65,巫溪县
3,重庆市,3,重庆市,66,秀山土家族苗族自治县
3,重庆市,3,重庆市,67,黔江区
3,重庆市,3,重庆市,68,丰都县
3,重庆市,3,重庆市,69,大渡口区
3,重庆市,3,重庆市,70,南川市
3,重庆市,3,重庆市,71,酉阳土家族苗族自治县
3,重庆市,3,重庆市,72,武隆县
3,重庆市,3,重庆市,73,石柱土家族自治县
3,重庆市,3,重庆市,74,彭水苗族土家族自治县
3,重庆市,3,重庆市,75,城口县
3,重庆市,3,重庆市,76,万盛区
3,重庆市,3,重庆市,77,双桥区
4,天津市,4,天津市,78,塘沽区
4,天津市,4,天津市,79,南开区
4,天津市,4,天津市,80,河西区
4,天津市,4,天津市,81,河东区
4,天津市,4,天津市,82,河北区
4,天津市,4,天津市,83,东丽区
4,天津市,4,天津市,84,和平区
4,天津市,4,天津市,85,武清区
4,天津市,4,天津市,86,大港区
4,天津市,4,天津市,87,红桥区
4,天津市,4,天津市,88,北辰区
4,天津市,4,天津市,89,西青区
4,天津市,4,天津市,90,蓟县
4,天津市,4,天津市,91,宁河县
4,天津市,4,天津市,92,宝坻区
4,天津市,4,天津市,93,静海县
4,天津市,4,天津市,94,汉沽区
4,天津市,4,天津市,95,津南区
5,安徽省,5,合肥市,96,包河区
5,安徽省,5,合肥市,97,庐阳区
5,安徽省,5,合肥市,98,肥东县
5,安徽省,5,合肥市,99,瑶海区
5,安徽省,5,合肥市,100,蜀山区
5,安徽省,5,合肥市,101,肥西县
5,安徽省,5,合肥市,102,长丰县
5,安徽省,6,黄山市,103,屯溪区
5,安徽省,6,黄山市,104,歙县
5,安徽省,6,黄山市,105,祁门县
5,安徽省,6,黄山市,106,黟县
5,安徽省,6,黄山市,107,休宁县
5,安徽省,7,安庆市,108,桐城市
5,安徽省,7,安庆市,109,枞阳县
5,安徽省,7,安庆市,110,怀宁县
5,安徽省,7,安庆市,111,石牌镇
5,安徽省,7,安庆市,112,宿松县
5,安徽省,7,安庆市,113,潜山县
5,安徽省,7,安庆市,114,望江县
5,安徽省,7,安庆市,115,太湖县
5,安徽省,7,安庆市,116,岳西县
5,安徽省,7,安庆市,117,迎江区
5,安徽省,7,安庆市,118,大观区
5,安徽省,8,芜湖市,119,镜湖区
5,安徽省,8,芜湖市,120,鸠江区
5,安徽省,8,芜湖市,121,南陵县
5,安徽省,8,芜湖市,122,芜湖县
5,安徽省,8,芜湖市,123,繁昌县
5,安徽省,8,芜湖市,124,马塘区
5,安徽省,8,芜湖市,125,新芜区
5,安徽省,9,蚌埠市,126,怀远县
5,安徽省,9,蚌埠市,127,固镇县
5,安徽省,9,蚌埠市,128,五河县
5,安徽省,9,蚌埠市,129,龙子湖区
5,安徽省,9,蚌埠市,130,蚌山区
5,安徽省,9,蚌埠市,131,禹会区
5,安徽省,9,蚌埠市,132,淮上区
5,安徽省,10,淮北市,133,濉溪县
5,安徽省,10,淮北市,134,相山区
5,安徽省,11,六安市,135,金寨县
5,安徽省,11,六安市,136,霍邱县
5,安徽省,11,六安市,137,寿县
5,安徽省,11,六安市,138,舒城县
5,安徽省,11,六安市,139,裕安区
5,安徽省,11,六安市,140,霍山县
5,安徽省,11,六安市,141,金安区
5,安徽省,12,阜阳市,142,太和县
5,安徽省,12,阜阳市,143,临泉县
5,安徽省,12,阜阳市,144,颍上县
5,安徽省,12,阜阳市,145,阜南县
5,安徽省,12,阜阳市,146,界首市
5,安徽省,12,阜阳市,147,颍东区
5,安徽省,12,阜阳市,148,颍泉区
5,安徽省,12,阜阳市,149,颍州区
5,安徽省,13,宿州市,150,萧县
5,安徽省,13,宿州市,151,灵璧县
5,安徽省,13,宿州市,152,砀山县
5,安徽省,13,宿州市,153,埇桥区
5,安徽省,13,宿州市,154,泗县
5,安徽省,14,巢湖市,155,庐江县
5,安徽省,14,巢湖市,156,无为县
5,安徽省,14,巢湖市,157,居巢区
5,安徽省,14,巢湖市,158,和县
5,安徽省,14,巢湖市,159,含山县
5,安徽省,15,马鞍山市,160,花山区
5,安徽省,15,马鞍山市,161,当涂县
5,安徽省,15,马鞍山市,162,雨山区
5,安徽省,15,马鞍山市,163,金家庄区
5,安徽省,16,淮南市,164,田家庵区
5,安徽省,16,淮南市,165,凤台县
5,安徽省,16,淮南市,166,谢家集区
5,安徽省,16,淮南市,167,八公山区
5,安徽省,16,淮南市,168,大通区
5,安徽省,17,滁州市,169,定远县
5,安徽省,17,滁州市,170,天长市
5,安徽省,17,滁州市,171,全椒县
5,安徽省,17,滁州市,172,凤阳县
5,安徽省,17,滁州市,173,明光市
5,安徽省,17,滁州市,174,来安县
5,安徽省,17,滁州市,175,南谯区
5,安徽省,17,滁州市,176,琅琊区
5,安徽省,18,池州市,177,贵池区
5,安徽省,18,池州市,178,青阳县
5,安徽省,18,池州市,179,东至县
5,安徽省,18,池州市,180,石台县
5,安徽省,18,池州市,181,池州九华山
5,安徽省,19,铜陵市,182,铜官山区
5,安徽省,19,铜陵市,183,铜陵县
5,安徽省,19,铜陵市,184,郊区
5,安徽省,20,亳州市,185,涡阳县
5,安徽省,20,亳州市,186,谯城区
5,安徽省,20,亳州市,187,蒙城县
5,安徽省,20,亳州市,188,利辛县
5,安徽省,21,宣城市,189,宣州区
5,安徽省,21,宣城市,190,广德县
5,安徽省,21,宣城市,191,宁国市
5,安徽省,21,宣城市,192,泾县
5,安徽省,21,宣城市,193,绩溪县
5,安徽省,21,宣城市,194,郎溪县
5,安徽省,21,宣城市,195,旌德县
6,甘肃省,22,兰州市,196,七里河区
6,甘肃省,22,兰州市,197,榆中县
6,甘肃省,22,兰州市,198,安宁区
6,甘肃省,22,兰州市,199,西固区
6,甘肃省,22,兰州市,200,永登县
6,甘肃省,22,兰州市,201,皋兰县
6,甘肃省,22,兰州市,202,城关区
6,甘肃省,23,天水市,203,秦安县
6,甘肃省,23,天水市,204,甘谷县
6,甘肃省,23,天水市,205,武山县
6,甘肃省,23,天水市,206,清水县
6,甘肃省,23,天水市,207,张家川回族自治县
6,甘肃省,24,武威市,208,民勤县
6,甘肃省,24,武威市,209,古浪县
6,甘肃省,24,武威市,210,天祝藏族自治县
6,甘肃省,24,武威市,211,凉州区
6,甘肃省,25,酒泉市,212,敦煌市
6,甘肃省,25,酒泉市,213,金塔县
6,甘肃省,25,酒泉市,214,玉门市
6,甘肃省,25,酒泉市,215,嘉峪关
6,甘肃省,25,酒泉市,216,安西县
6,甘肃省,25,酒泉市,217,肃北蒙古族自治县
6,甘肃省,25,酒泉市,218,阿克塞哈萨克族自治县
6,甘肃省,25,酒泉市,219,肃州区
6,甘肃省,26,张掖市,220,山丹县
6,甘肃省,26,张掖市,221,高台县
6,甘肃省,26,张掖市,222,民乐县
6,甘肃省,26,张掖市,223,临泽县
6,甘肃省,26,张掖市,224,肃南裕固族自治县
6,甘肃省,26,张掖市,225,甘州区
6,甘肃省,27,定西市,226,陇西县
6,甘肃省,27,定西市,227,临洮县
6,甘肃省,27,定西市,228,安定区
6,甘肃省,27,定西市,229,通渭县
6,甘肃省,27,定西市,230,岷县
6,甘肃省,27,定西市,231,渭源县
6,甘肃省,27,定西市,232,漳县
6,甘肃省,28,嘉峪关市,233,嘉峪关市
6,甘肃省,29,平凉市,234,静宁县
6,甘肃省,29,平凉市,235,庄浪县
6,甘肃省,29,平凉市,236,泾川县
6,甘肃省,29,平凉市,237,华亭县
6,甘肃省,29,平凉市,238,灵台县
6,甘肃省,29,平凉市,239,崇信县
6,甘肃省,30,庆阳市,240,西峰区
6,甘肃省,30,庆阳市,241,宁县
6,甘肃省,30,庆阳市,242,镇原县
6,甘肃省,30,庆阳市,243,庆城县
6,甘肃省,30,庆阳市,244,正宁县
6,甘肃省,30,庆阳市,245,环县
6,甘肃省,30,庆阳市,246,合水县
6,甘肃省,30,庆阳市,247,华池县
6,甘肃省,31,白银市,248,靖远县
6,甘肃省,31,白银市,249,会宁县
6,甘肃省,31,白银市,250,白银区
6,甘肃省,31,白银市,251,景泰县
6,甘肃省,32,陇南市,252,成县
6,甘肃省,32,陇南市,253,武都区
6,甘肃省,32,陇南市,254,康县
6,甘肃省,32,陇南市,255,文县
6,甘肃省,32,陇南市,256,礼县
6,甘肃省,32,陇南市,257,徽县
6,甘肃省,32,陇南市,258,西和县
6,甘肃省,32,陇南市,259,宕昌县
6,甘肃省,32,陇南市,260,两当县
6,甘肃省,33,金昌市,261,永昌县
6,甘肃省,33,金昌市,262,金川区
6,甘肃省,34,临夏回族自治州,263,临夏市
6,甘肃省,34,临夏回族自治州,264,永靖县
6,甘肃省,34,临夏回族自治州,265,东乡族自治县
6,甘肃省,34,临夏回族自治州,266,临夏县
6,甘肃省,34,临夏回族自治州,267,康乐县
6,甘肃省,34,临夏回族自治州,268,积石山保安族东乡族撒拉族自治县
6,甘肃省,34,临夏回族自治州,269,广河县
6,甘肃省,34,临夏回族自治州,270,和政县
6,甘肃省,35,甘南藏族自治州,271,合
6,甘肃省,35,甘南藏族自治州,272,夏河县
6,甘肃省,35,甘南藏族自治州,273,迭部县
6,甘肃省,35,甘南藏族自治州,274,舟曲县
6,甘肃省,35,甘南藏族自治州,275,临潭县
6,甘肃省,35,甘南藏族自治州,276,玛曲县
6,甘肃省,35,甘南藏族自治州,277,卓尼县
6,甘肃省,35,甘南藏族自治州,278,碌曲县
7,广东省,36,深圳市,279,宝安区
7,广东省,36,深圳市,280,罗湖区
7,广东省,36,深圳市,281,龙岗区
7,广东省,36,深圳市,282,福田区
7,广东省,36,深圳市,283,南山区
7,广东省,36,深圳市,284,盐田区
7,广东省,37,广州市,285,天河区
7,广东省,37,广州市,286,番禺区
7,广东省,37,广州市,287,白云区
7,广东省,37,广州市,288,海珠区
7,广东省,37,广州市,289,花都区
7,广东省,37,广州市,290,越秀区
7,广东省,37,广州市,291,荔湾区
7,广东省,37,广州市,292,黄埔区
7,广东省,37,广州市,293,增城市
7,广东省,37,广州市,294,芳村区
7,广东省,37,广州市,295,东山区
7,广东省,37,广州市,296,从化市
7,广东省,38,东莞市,297,东莞市
7,广东省,39,惠州市,298,惠城区
7,广东省,39,惠州市,299,惠阳区
7,广东省,39,惠州市,300,博罗县
7,广东省,39,惠州市,301,惠东县
7,广东省,39,惠州市,302,龙门县
7,广东省,40,佛山市,303,顺德区
7,广东省,40,佛山市,304,南海区
7,广东省,40,佛山市,305,禅城区
7,广东省,40,佛山市,306,三水区
7,广东省,40,佛山市,307,高明区
7,广东省,41,汕头市,308,澄海区
7,广东省,41,汕头市,309,潮阳区
7,广东省,41,汕头市,310,龙湖区
7,广东省,41,汕头市,311,南澳县
7,广东省,41,汕头市,312,潮南区
7,广东省,41,汕头市,313,金平区
7,广东省,41,汕头市,314,濠江区
7,广东省,42,中山市,315,中山市
7,广东省,43,珠海市,316,香洲区
7,广东省,43,珠海市,317,斗门区
7,广东省,43,珠海市,318,金湾区
7,广东省,44,湛江市,319,遂溪县
7,广东省,44,湛江市,320,廉江市
7,广东省,44,湛江市,321,赤坎区
7,广东省,44,湛江市,322,吴川市
7,广东省,44,湛江市,323,坡头区
7,广东省,44,湛江市,324,麻章区
7,广东省,44,湛江市,325,雷州市
7,广东省,44,湛江市,326,徐闻县
7,广东省,44,湛江市,327,霞山区
7,广东省,45,江门市,328,新会区
7,广东省,45,江门市,329,台山市
7,广东省,45,江门市,330,开平市
7,广东省,45,江门市,331,鹤山市
7,广东省,45,江门市,332,恩平市
7,广东省,45,江门市,333,蓬江区
7,广东省,45,江门市,334,江海区
7,广东省,46,河源市,335,紫金县
7,广东省,46,河源市,336,源城区
7,广东省,46,河源市,337,龙川县
7,广东省,46,河源市,338,和平县
7,广东省,46,河源市,339,连平县
7,广东省,46,河源市,340,东源县
7,广东省,47,潮州市,341,饶平县
7,广东省,47,潮州市,342,潮安县
7,广东省,47,潮州市,343,湘桥区
7,广东省,48,梅州市,344,梅县
7,广东省,48,梅州市,345,兴宁市
7,广东省,48,梅州市,346,五华县
7,广东省,48,梅州市,347,丰顺县
7,广东省,48,梅州市,348,大埔县
7,广东省,48,梅州市,349,梅江区
7,广东省,48,梅州市,350,平远县
7,广东省,48,梅州市,351,蕉岭县
7,广东省,49,揭阳市,352,普宁市
7,广东省,49,揭阳市,353,揭西县
7,广东省,49,揭阳市,354,揭东县
7,广东省,49,揭阳市,355,惠来县
7,广东省,49,揭阳市,356,榕城区
7,广东省,50,茂名市,357,高州市
7,广东省,50,茂名市,358,信宜市
7,广东省,50,茂名市,359,电白县
7,广东省,50,茂名市,360,化州市
7,广东省,50,茂名市,361,茂南区
7,广东省,50,茂名市,362,茂港区
7,广东省,51,肇庆市,363,四会市
7,广东省,51,肇庆市,364,端州区
7,广东省,51,肇庆市,365,广宁县
7,广东省,51,肇庆市,366,怀集县
7,广东省,51,肇庆市,367,封开县
7,广东省,51,肇庆市,368,德庆县
7,广东省,51,肇庆市,369,高要市
7,广东省,51,肇庆市,370,鼎湖区
7,广东省,52,韶关市,371,曲江区
7,广东省,52,韶关市,372,南雄市
7,广东省,52,韶关市,373,乐昌市
7,广东省,52,韶关市,374,翁源县
7,广东省,52,韶关市,375,乳源瑶族自治县
7,广东省,52,韶关市,376,始兴县
7,广东省,52,韶关市,377,新丰县
7,广东省,52,韶关市,378,仁化县
7,广东省,52,韶关市,379,武江区
7,广东省,52,韶关市,380,浈江区
7,广东省,53,清远市,381,清新县
7,广东省,53,清远市,382,英德市
7,广东省,53,清远市,383,阳山县
7,广东省,53,清远市,384,连州市
7,广东省,53,清远市,385,佛冈县
7,广东省,53,清远市,386,连南瑶族自治县
7,广东省,53,清远市,387,连山壮族瑶族自治县
7,广东省,53,清远市,388,清城区
7,广东省,54,汕尾市,389,海丰县
7,广东省,54,汕尾市,390,陆丰市
7,广东省,54,汕尾市,391,陆丰县
7,广东省,54,汕尾市,392,城区
7,广东省,54,汕尾市,393,陆河县
7,广东省,55,云浮市,394,罗定市
7,广东省,55,云浮市,395,郁南县
7,广东省,55,云浮市,396,新兴县
7,广东省,55,云浮市,397,云安县
7,广东省,55,云浮市,398,云城区
7,广东省,56,阳江市,399,阳春市
7,广东省,56,阳江市,400,江城区
7,广东省,56,阳江市,401,阳东县
7,广东省,56,阳江市,402,阳西县
8,广西,57,南宁市,403,宾阳县
8,广西,57,南宁市,404,江南区
8,广西,57,南宁市,405,横县
8,广西,57,南宁市,406,武鸣县
8,广西,57,南宁市,407,兴宁区
8,广西,57,南宁市,408,上林县
8,广西,57,南宁市,409,马山县
8,广西,57,南宁市,410,邕宁区
8,广西,57,南宁市,411,邕宁县
8,广西,57,南宁市,412,隆安县
8,广西,57,南宁市,413,青秀区
8,广西,58,桂林市,414,象山区
8,广西,58,桂林市,415,七星区
8,广西,58,桂林市,416,阳朔县
8,广西,58,桂林市,417,兴安县
8,广西,58,桂林市,418,临桂县
8,广西,58,桂林市,419,荔浦县
8,广西,58,桂林市,420,平乐县
8,广西,58,桂林市,421,灵川县
8,广西,58,桂林市,422,龙胜各族自治县
8,广西,58,桂林市,423,永福县
8,广西,58,桂林市,424,灌阳县
8,广西,58,桂林市,425,资源县
8,广西,58,桂林市,426,叠彩区
8,广西,58,桂林市,427,秀峰区
8,广西,58,桂林市,428,恭城瑶族自治县
8,广西,58,桂林市,429,雁山区
8,广西,58,桂林市,430,全州县
8,广西,59,柳州市,431,柳南区
8,广西,59,柳州市,432,鱼峰区
8,广西,59,柳州市,433,鹿寨县
8,广西,59,柳州市,434,柳北区
8,广西,59,柳州市,435,柳江县
8,广西,59,柳州市,436,融水苗族自治县
8,广西,59,柳州市,437,融安县
8,广西,59,柳州市,438,柳城县
8,广西,59,柳州市,439,三江侗族自治县
8,广西,59,柳州市,440,城中区
8,广西,60,玉林市,441,容县
8,广西,60,玉林市,442,博白县
8,广西,60,玉林市,443,陆川县
8,广西,60,玉林市,444,玉州区
8,广西,61,贵港市,445,桂平县
8,广西,61,贵港市,446,平南县
8,广西,61,贵港市,447,港北区
8,广西,61,贵港市,448,港南区
8,广西,62,梧州市,449,藤县
8,广西,62,梧州市,450,岑溪市
8,广西,62,梧州市,451,苍梧县
8,广西,62,梧州市,452,蝶山区
8,广西,62,梧州市,453,蒙山县
8,广西,62,梧州市,454,万秀区
8,广西,62,梧州市,455,长洲区
8,广西,63,北海市,456,合浦县
8,广西,63,北海市,457,银海区
8,广西,63,北海市,458,海城区
8,广西,64,百色市,459,乐业县
8,广西,64,百色市,460,平果县
8,广西,64,百色市,461,靖西县
8,广西,64,百色市,462,隆林各族自治县
8,广西,64,百色市,463,田东县
8,广西,64,百色市,464,田阳县
8,广西,64,百色市,465,德保县
8,广西,64,百色市,466,田林县
8,广西,64,百色市,467,西林县
8,广西,64,百色市,468,凌云县
8,广西,64,百色市,469,那坡县
8,广西,64,百色市,470,右江区
8,广西,65,河池市,471,天峨县
8,广西,65,河池市,472,宜州市
8,广西,65,河池市,473,都安瑶族自治县
8,广西,65,河池市,474,环江毛南族自治县
8,广西,65,河池市,475,大化瑶族自治县
8,广西,65,河池市,476,南丹县
8,广西,65,河池市,477,罗城仫佬族自治县
8,广西,65,河池市,478,东兰县
8,广西,65,河池市,479,凤山县
8,广西,66,钦州市,480,浦北县
8,广西,66,钦州市,481,灵山县
8,广西,66,钦州市,482,钦北区
8,广西,66,钦州市,483,钦南区
8,广西,67,防城港市,484,防城区
8,广西,67,防城港市,485,东兴市
8,广西,67,防城港市,486,上思县
8,广西,68,来宾市,487,忻城县
8,广西,68,来宾市,488,金秀瑶族自治县
8,广西,68,来宾市,489,武宣县
8,广西,68,来宾市,490,象州县
8,广西,68,来宾市,491,合山市
8,广西,69,崇左市,492,凭祥市
8,广西,69,崇左市,493,扶绥县
8,广西,69,崇左市,494,宁明县
8,广西,69,崇左市,495,大新县
8,广西,69,崇左市,496,龙州县
8,广西,69,崇左市,497,天等县
8,广西,70,贺州市,498,贺县
8,广西,70,贺州市,499,昭平县
8,广西,70,贺州市,500,钟山县
8,广西,70,贺州市,501,富川瑶族自治县
8,广西,70,贺州市,502,八步区
9,湖北省,71,武汉市,503,武昌区
9,湖北省,71,武汉市,504,洪山区
9,湖北省,71,武汉市,505,江夏区
9,湖北省,71,武汉市,506,江岸区
9,湖北省,71,武汉市,507,汉阳区
9,湖北省,71,武汉市,508,黄陂区
9,湖北省,71,武汉市,509,硚口区
9,湖北省,71,武汉市,510,江汉区
9,湖北省,71,武汉市,511,新洲区
9,湖北省,71,武汉市,512,东西湖区
9,湖北省,71,武汉市,513,青山区
9,湖北省,71,武汉市,514,蔡甸区
9,湖北省,71,武汉市,515,汉南区
9,湖北省,72,宜昌市,516,宜昌市
9,湖北省,72,宜昌市,517,当阳市
9,湖北省,72,宜昌市,518,西陵区
9,湖北省,72,宜昌市,519,秭归县
9,湖北省,72,宜昌市,520,枝江市
9,湖北省,72,宜昌市,521,宜都市
9,湖北省,72,宜昌市,522,兴山县
9,湖北省,72,宜昌市,523,长阳土家族自治县
9,湖北省,72,宜昌市,524,点军区
9,湖北省,72,宜昌市,525,五峰土家族自治县
9,湖北省,72,宜昌市,526,远安县
9,湖北省,72,宜昌市,527,伍家岗区
9,湖北省,72,宜昌市,528,夷陵区
9,湖北省,73,十堰市,529,郧县
9,湖北省,73,十堰市,530,房县
9,湖北省,73,十堰市,531,张湾区
9,湖北省,73,十堰市,532,茅箭区
9,湖北省,73,十堰市,533,郧西县
9,湖北省,73,十堰市,534,竹山县
9,湖北省,73,十堰市,535,竹溪县
9,湖北省,74,孝感市,536,云梦县
9,湖北省,74,孝感市,537,安陆市
9,湖北省,74,孝感市,538,应城市
9,湖北省,74,孝感市,539,汉川市
9,湖北省,74,孝感市,540,大悟县
9,湖北省,74,孝感市,541,孝昌县
9,湖北省,74,孝感市,542,花园镇
9,湖北省,74,孝感市,543,新城镇
9,湖北省,74,孝感市,544,孝南区
9,湖北省,75,荆州市,545,沙市区
9,湖北省,75,荆州市,546,监利县
9,湖北省,75,荆州市,547,公安县
9,湖北省,75,荆州市,548,松滋市
9,湖北省,75,荆州市,549,洪湖市
9,湖北省,75,荆州市,550,荆州区
9,湖北省,75,荆州市,551,石首市
9,湖北省,75,荆州市,552,江陵县
9,湖北省,76,襄樊市,553,襄阳区
9,湖北省,76,襄樊市,554,枣阳市
9,湖北省,76,襄樊市,555,老河口市
9,湖北省,76,襄樊市,556,樊城区
9,湖北省,76,襄樊市,557,南漳县
9,湖北省,76,襄樊市,558,谷城县
9,湖北省,76,襄樊市,559,宜城县
9,湖北省,76,襄樊市,560,襄城区
9,湖北省,76,襄樊市,561,保康县
9,湖北省,77,黄冈市,562,麻城市
9,湖北省,77,黄冈市,563,罗田县
9,湖北省,77,黄冈市,564,黄梅县
9,湖北省,77,黄冈市,565,浠水县
9,湖北省,77,黄冈市,566,蕲春县
9,湖北省,77,黄冈市,567,黄州区
9,湖北省,77,黄冈市,568,武穴市
9,湖北省,77,黄冈市,569,英山县
9,湖北省,77,黄冈市,570,红安县
9,湖北省,77,黄冈市,571,团风县
9,湖北省,77,黄冈市,572,凤山镇
9,湖北省,77,黄冈市,573,清泉镇
9,湖北省,78,黄石市,574,大冶市
9,湖北省,78,黄石市,575,阳新县
9,湖北省,78,黄石市,576,黄石港区
9,湖北省,78,黄石市,577,西塞山区
9,湖北省,79,恩施土家族苗族自治州,578,恩施市
9,湖北省,80,随州市,579,广水市
9,湖北省,80,随州市,580,应山街道
9,湖北省,80,随州市,581,广水街道
9,湖北省,81,荆门市,582,钟祥县
9,湖北省,81,荆门市,583,京山县
9,湖北省,81,荆门市,584,沙洋县
9,湖北省,81,荆门市,585,东宝区
9,湖北省,81,荆门市,586,旧口镇
9,湖北省,81,荆门市,587,掇刀区
9,湖北省,81,荆门市,588,新市镇
9,湖北省,82,天门市,589,天门市
9,湖北省,83,仙桃市,590,仙桃市
9,湖北省,84,恩施市,591,恩施市
9,湖北省,85,咸宁市,592,赤壁市
9,湖北省,85,咸宁市,593,通城县
9,湖北省,85,咸宁市,594,崇阳县
9,湖北省,85,咸宁市,595,通山县
9,湖北省,85,咸宁市,596,嘉鱼县
9,湖北省,85,咸宁市,597,咸安区
9,湖北省,86,潜江市,598,潜江市
9,湖北省,87,神农架林区,599,神农架林区
9,湖北省,88,鄂州市,600,鄂城区
9,湖北省,88,鄂州市,601,梁子湖区
10,湖南省,89,长沙市,602,雨花区
10,湖南省,89,长沙市,603,岳麓区
10,湖南省,89,长沙市,604,芙蓉区
10,湖南省,89,长沙市,605,长沙县
10,湖南省,89,长沙市,606,天心区
10,湖南省,89,长沙市,607,开福区
10,湖南省,89,长沙市,608,宁乡县
10,湖南省,89,长沙市,609,浏阳市
10,湖南省,89,长沙市,610,望城县
10,湖南省,90,常德市,611,汉寿县
10,湖南省,90,常德市,612,桃源县
10,湖南省,90,常德市,613,石门县
10,湖南省,90,常德市,614,澧县
10,湖南省,90,常德市,615,鼎城区
10,湖南省,90,常德市,616,安乡县
10,湖南省,90,常德市,617,武陵区
10,湖南省,90,常德市,618,临澧县
10,湖南省,90,常德市,619,津市市
10,湖南省,91,湘潭市,620,湘潭县
10,湖南省,91,湘潭市,621,湘乡市
10,湖南省,91,湘潭市,622,岳塘区
10,湖南省,92,衡阳市,623,耒阳市
10,湖南省,92,衡阳市,624,祁东县
10,湖南省,92,衡阳市,625,衡阳县
10,湖南省,92,衡阳市,626,珠晖区
10,湖南省,92,衡阳市,627,衡南县
10,湖南省,92,衡阳市,628,常宁市
10,湖南省,92,衡阳市,629,衡山县
10,湖南省,92,衡阳市,630,雁峰区
10,湖南省,92,衡阳市,631,衡东县
10,湖南省,92,衡阳市,632,南岳区
10,湖南省,92,衡阳市,633,石鼓区
10,湖南省,92,衡阳市,634,蒸湘区
10,湖南省,93,岳阳市,635,岳阳楼区
10,湖南省,93,岳阳市,636,岳阳县
10,湖南省,93,岳阳市,637,华容县
10,湖南省,93,岳阳市,638,平江县
10,湖南省,93,岳阳市,639,临湘市
10,湖南省,93,岳阳市,640,湘阴县
10,湖南省,93,岳阳市,641,汨罗市
10,湖南省,93,岳阳市,642,洞庭湖
10,湖南省,94,怀化市,643,靖州苗族侗族自治县
10,湖南省,94,怀化市,644,鹤城区
10,湖南省,94,怀化市,645,溆浦县
10,湖南省,94,怀化市,646,沅陵县
10,湖南省,94,怀化市,647,洪江市
10,湖南省,94,怀化市,648,通道侗族自治县
10,湖南省,94,怀化市,649,辰溪县
10,湖南省,94,怀化市,650,会同县
